gene	via_seed	interaction_score	n_drugs	n_approved	maturity	priority	approved_drugs	top_drugs
PLCG2	TP53	0.49	2	1	0.163	0.0799	IBRUTINIB	CCT129957|IBRUTINIB
OGA	TP53	0.44	5	1	0.181	0.0796	STREPTOZOCIN	THIAMET-G|CEPEROGNASTAT|MK-8719|MK-8719|STREPTOZOCIN
MRE11	TP53	0.48	1	1	0.156	0.0749	TALAZOPARIB	TALAZOPARIB
S100A10	TP53	0.44	2	1	0.163	0.0717	DEXAMETHASONE	THERAPEUTIC GONADOTROPIN|DEXAMETHASONE
SREBF1	TP53	0.4	2	1	0.163	0.0652	INSULIN, REGULAR, HUMAN	RECOMBINANT NEUROTROPHIC FACTOR|INSULIN, REGULAR, HUMAN
CDC7	CDKN2A	0.44	23	0	0.144	0.0634		NMS-1116354|SIMUROSERTIB|BMS-863233|MONZOSERTIB|SIMUROSERTIB
ACTR3B	CDKN2A	0.4	1	1	0.156	0.0624	CAFFEINE	CAFFEINE
NCOA2	TP53	0.4	1	1	0.156	0.0624	METHYLENE BLUE ANHYDROUS	METHYLENE BLUE ANHYDROUS
BTRC	TP53	0.4	1	1	0.156	0.0624	GEMCITABINE	GEMCITABINE
PPP2R2A	TP53	0.4	1	1	0.156	0.0624	OLAPARIB	OLAPARIB
NUAK1	TP53	0.59	7	0	0.044	0.026		HTH-01-015|HTH-02-006|WZ4003|NARAZACICLIB|WZ4002
WDR5	TP53	0.69	6	0	0.037	0.0255		HBI-2375|COMPOUND 22 [PMID:  38085679]|MS132|COMPOUND 41 [PMID: 35436124]|MS40
SETD7	TP53	0.92	3	0	0.019	0.0175		SINEFUNGIN|(R)-PFI-2|EOSIN
SMYD2	TP53	0.81	3	0	0.019	0.0154		LLY-507|BAY-598|AZ505
BRD7	TP53	0.73	3	0	0.019	0.0139		LP99|TP-472|BI-9564
